country_name,region_code,country_code,gdp_ppp_current_international,population_total,population_cgr_1960_2015,internet_users_per_100_people,popltn_largest_city_of_urban_pop,2014_life_expectancy_at_birth_total_years,literacy_rate_adult_female_of_females_ages_15_and_above,exports_of_goods_and_services_of_gdp
Aruba,MA,ABW,,103889,0.011897390699520782,88.661226932496,,75.45109756097563,97.5139617919922,
Andorra,EU,AND,,70473,0.030621869374830135,96.91,,,,
Afghanistan,ME,AFG,62912669166.99755,32526562,0.023646357135489904,8.26,0.5336294644172954,60.37446341463415,23.8738498687744,0.07327841181800296
Angola,AF,AGO,184437662367.83475,25021974,0.028724148431622742,12.4,0.4995382038761842,52.26687804878049,60.744800567627,0.3730742230859447
Albania,EU,ALB,32663238936.453182,2889167,0.010701945330888973,63.252932696931,0.27343143307785434,77.83046341463417,96.7696914672852,0.27104984490171563
Arab World,,ARB,6435291560152.01,392022276,0.026596108219843817,39.52615406593972,0.29792553727536525,70.56790191057728,,
United Arab Emirates,ME,ARE,643166288737.1919,9156963,0.08711192094811682,91.2434057753709,0.3082604298401702,77.36817073170734,95.0763397216797,
Argentina,SA,ARG,882358844160.4489,43416755,0.013630768883366784,69.40092102179,0.3810734030492096,76.15860975609758,98.1347808837891,0.11057818978434637
Armenia,RU,ARM,25329201238.17071,3017712,0.008764622362661179,58.2493322231746,0.552238127289772,74.67570731707318,99.73046875,0.29733384746377445
American Samoa,PA,ASM,,55538,0.018732110370103028,,,,,
Antigua and Barbuda,MA,ATG,2108847544.2829878,91818,0.009468032844653473,65.2,,75.93763414634147,,0.43985984408182266
Australia,AU,AUS,1082380307303.4142,23781169,0.015372164718941095,84.560519347399,0.21185817533146475,82.25121951219514,,0.19791589026529322
Austria,EU,AUT,411818289486.0546,8611088,0.0036497751270694323,83.9263,0.3085688865698699,81.33658536585367,,0.5336761796762619
Azerbaijan,RU,AZE,171214494401.93576,9651349,0.016621397660841808,77,0.450270858740864,70.76321951219512,99.7345199584961,0.3781417829301904
Burundi,AF,BDI,8227818146.034933,11178921,0.025579079883500055,4.86622446359511,0.5570841707825022,56.69202439024391,82.9128875732422,0.0710302155373491
Belgium,EU,BEL,496477182327.9458,11285721,0.0038145876403772316,85.0529,0.18516810197337358,80.58780487804879,,0.8440695933386579
Benin,AF,BEN,22954763232.55575,10879829,0.02761725595065312,6.787702956098,0.15822978719844574,59.510585365853665,27.2882595062256,0.26883028803957554
Burkina Faso,AF,BFA,30041128246.050194,18105570,0.024318625191648735,11.387646166247,0.5070395857156546,58.58846341463415,28.348840713501,0.33420275039143876
Bangladesh,SS,BGD,536566830314.9442,160995642,0.02216951114042698,14.4,0.3188981625919579,71.6259024390244,58.3136405944824,0.17336674930277846
Bulgaria,EU,BGR,125699285209.39291,7177991,-0.0016659706491847226,56.6563,0.2310021456369192,75.40731707317074,98.0688095092773,0.664649834963289
Bahrain,ME,BHR,64656229837.00426,1377237,0.03962209898232105,93.4783011354165,0.33628977247632585,76.68326829268294,93.4338607788086,
"Bahamas, The",MA,BHS,9233082171.937819,388019,0.023264536616605325,78,,75.23365853658537,,0.43143475364450873
Bosnia and Herzegovina,EU,BIH,40046143925.21362,3810416,0.0030967910561445766,65.065502803344,0.21015608913949035,76.43324390243903,97.4295425415039,
Belarus,EU,BLR,168008584869.93777,9513000,0.0027085535600153143,62.230360906803,0.2626228999310603,72.97560975609758,99.6683502197266,0.6006512347854442
Belize,MA,BLZ,3063614204.636601,359287,0.025065236524928425,41.589999999835,,70.07743902439024,83.3138198852539,
Bermuda,,BMU,,65235,0.007020101930538036,98.3236096537251,,80.79731707317075,,
Bolivia,SA,BOL,73795658654.69942,10724705,0.019570655660760217,45.1,0.28671273090527527,68.34400000000002,92.8760604858398,
Brazil,SA,BRA,3192398002509.329,207847528,0.01933558812185643,59.079477910505,0.11828436149515197,74.40187804878049,92.8659210205078,0.13042694753614806
Barbados,MA,BRB,4658529674.050792,284215,0.003781660476212201,76.11,,75.49641463414635,,0.36890586385082
Brunei Darussalam,SE,BRN,29968912429.119812,423188,0.03032777156900579,71.2,,78.80958536585365,95.4420318603516,
Bhutan,SS,BTN,6258268496.140964,774830,0.022811111908610293,39.8,,69.47124390243903,55.1181907653809,0.4448261740821138
Botswana,AF,BWA,35763294334.82458,2262485,0.026950813803920504,27.5,,64.42924390243903,89.2134704589844,0.4969593662635819
Central African Republic,AF,CAF,2927262910.8925114,4900274,0.021714115710054438,4.563264351542,0.40471618916746477,50.657780487804885,24.355489730835,0.09189136297892536
Canada,NA,CAN,1588596446962.761,35851774,0.012699768789045107,88.47,0.20427384863851838,81.95660975609758,,0.3153505693575517
Central Europe and the Baltics,,CEB,2613447848501.833,103318638,0.0022307569534516514,68.15658621778664,0.16498270889935376,76.56332724654408,,0.6101647366029721
Switzerland,EU,CHE,501653407776.5449,8286976,0.008064006958887537,87.97,0.20345873598179287,82.84878048780489,,0.6348888829836291
Channel Islands,EU,CHI,,163692,0.0073505575759647,,,80.60648780487806,,
Chile,SA,CHL,400534442322.3361,17948141,0.01551597560667628,64.289,0.4049668146143272,81.49619512195123,96.5022201538086,0.3005259938206234
China,EA,CHN,19524348171415.285,1371220000,0.013187307309904028,50.3,0.031131760107866363,75.78226829268294,94.4713897705078,0.2237405086804083
Cote d'Ivoire,AF,CIV,79360774755.88902,22701556,0.03471475469033569,21,0.39511506903865895,51.559585365853664,32.7297096252441,0.4540292063493416
Cameroon,AF,CMR,72895559665.17941,23344179,0.027108727293927437,20.6801476606263,0.24149198750543335,55.492756097560985,68.8810119628906,0.1695744654854959
"Congo, Rep.",AF,COG,29422821814.91591,4620330,0.027965279223182593,7.61597466209,0.6248816527695569,62.31114634146343,72.8770599365234,0.6927556055992121
Colombia,SA,COL,665594053124.5259,48228704,0.019715163718348583,55.9049725142924,0.26488565078450865,73.99314634146342,94.6714019775391,0.14714634094567142
Comoros,AF,COM,,788474,0.026336682869646966,7.459161385649,,63.2568536585366,74.2552032470703,
Cabo Verde,AF,CPV,3482060208.3235703,520502,0.01732958839796761,43.019626357101,,73.14700000000002,84.6595077514648,
Costa Rica,MA,CRI,73931413182.81752,4807850,0.023597507229460524,59.7629501371681,0.3168289274112629,79.40270731707318,97.7102508544922,
Caribbean small states,,CSS,109873805888.94202,7048966,0.009499140536592954,51.91699952018783,,72.84469980920727,,0.3605868237488293
Cuba,MA,CUB,,11389562,0.008523876468189862,31.107970210145,0.24344973925176036,79.39082926829269,99.7682189941406,
Curacao,MA,CUW,,158040,0.004298802510449118,,,77.82439024390246,,
Cayman Islands,MA,CYM,,59967,0.03761977391016269,77,,,,
Cyprus,EU,CYP,25864252933.881866,1165300,0.012992258022949787,71.7159,,80.13156097560976,98.6427993774414,
Czech Republic,EU,CZE,339401671826.76166,10551219,0.0017154581412326397,81.2986,0.17055757376505964,78.27560975609757,,0.8448578412476376
Germany,EU,DEU,3848271845005.92,81413145,0.002031444991779763,87.5898,0.05812248780326118,80.8439024390244,,0.46918966257972833
Djibouti,AF,DJI,,887861,0.04388742926169131,11.9224314345,0.7698100183778022,62.01551219512196,,
Dominica,MA,DMA,819679822.7650687,72680,0.003487066632410274,67.6,,,,0.3415977961432507
Denmark,EU,DNK,264701742375.40808,5676002,0.003910075358305232,96.3305,0.25480840720732595,80.54878048780489,,0.5326647994448691
Dominican Republic,MA,DOM,149626592866.0453,10528391,0.021351310165129256,51.9302327383135,0.3542078882564153,73.50002439024391,92.9675521850586,0.2463695969568069
