region,region_code,country_code,gdp_ppp_current_international,population_total,population_cgr_1960_2015,internet_users_per_100_people,popltn_largest_city_of_urban_pop,2014_life_expectancy_at_birth_total_years,literacy_rate_adult_female_of_females_ages_15_and_above,exports_of_goods_and_services_of_gdp
Subsaharan Africa,AF Total,,3631990520504.913,995391716,,,,,,
Austral Realm,AU Total,,1252339856822.8516,28376869,,,,,,
East Asia,EA Total,,26527244418937.695,1584803274,,,,,,
Europe,EU Total,,20775358399157.95,600504458,,,,,,
Middle America,MA Total,,2870234710466.8213,214783392,,,,,,
North Africa & Southwest Asia,ME Total,,8638025364078.189,602594438,,,,,,
North America,NA Total,,19535592446962.76,357326708,,,,,,
Pacific Realm,PA Total,,11125906558.475908,10700499,,,,,,
Russia ,RU Total,,3811979814243.7383,160444873,,,,,,
South America,SA Total,,5936382322468.203,418175687,,,,,,
Southeast Asia,SE Total,,6656599975511.426,631737657,,,,,,
South Asia,SS Total,,9799236226739.422,1711634736,,,,,,
Arab World,,ARB,6435291560152.01,392022276,0.026596108219843817,39.52615406593972,0.29792553727536525,70.56790191057728,,
Bermuda,,BMU,,65235,0.007020101930538036,98.3236096537251,,80.79731707317075,,
Caribbean small states,,CSS,109873805888.94202,7048966,0.009499140536592954,51.91699952018783,,72.84469980920727,,0.3605868237488293
Central Europe and the Baltics,,CEB,2613447848501.833,103318638,0.0022307569534516514,68.15658621778664,0.16498270889935376,76.56332724654408,,0.6101647366029721
Early-demographic dividend,,EAR,27102333853783.652,3122703317,0.021293220475814056,29.79234254685315,0.18099077587029597,69.03914206819549,,
East Asia & Pacific,,EAS,35767059501318.25,2279186469,0.01432372893269851,49.82471578037743,0.11730154863135722,74.92850744213446,,0.2993961907443522
East Asia & Pacific (excluding high income),,EAP,25988222799526.383,2035129646,0.01501754381699727,44.982048970782806,0.07669628454984462,73.9857230370492,,0.2526904725038495
East Asia & Pacific (IDA & IBRD countries),,TEA,25938732918444.34,2009929013,0.015024603951280024,44.98204897078281,0.07510453170896436,74.03477400293592,,0.25269047250384946
Euro area,,EMU,13564044499578.043,339425073,0.004483261454845566,80.28028396945396,0.15462959853401423,81.64866943714901,,0.4456839451174951
Europe & Central Asia,,ECS,26947887951476.47,907944124,0.005608726229952232,71.74412921266939,0.16968220862241912,76.892204209525,,0.4196551633407758
Europe & Central Asia (excluding high income),,ECA,7429211095071.091,411338238,0.007332980212844564,59.932064459407314,0.1812304785635509,71.89472566267892,,0.32607270628762336
Europe & Central Asia (IDA & IBRD countries),,TEC,8514772143353.657,453562136,0.007002528187304957,60.718746480696396,0.17364837339621741,72.39720521003423,,0.352748275023798
