Unnamed: 0,company_name,yc_url,tagline,description,batch,company_type,industry_tags,location,country,company_website,founded_year,team_size,facebook,linkedin,crunchbase,twitter,founder_names,number_of_founders
0,Embark Trucks,https://www.ycombinator.com/companies/embark-trucks,Self-driving semi trucks.,"Embark Technology develops self-driving truck software. Embark was the first self-driving truck company to achieve an autonomous coast-to-coast drive, the first to reach 100,000 miles driven on public roads, and the first to open a network of transfer points.Embark went public on NASDAQ in 2021 and was acquired by Applied Intuition in 2023.",W16,PUBLIC,Autonomous vehicles,San Francisco,United States,http://embarktrucks.com,2016,300,Not Available,https://www.linkedin.com/company/embarktrucks/,Not Available,Not Available,"Alex Rodrigues, Brandon Moak, Michael Skupien",3
1,Classkick,https://www.ycombinator.com/companies/classkick,Not Available,"Every day, teachers struggle to answer all of their students questions. Even worse, theyre often unaware of who needs help because some students are too shy to raise hands. Classkick is a free app that eliminates those roadblocks, showing teachers exactly what their students are doing and who has pressed I need help on a specific part of their assignment. Rather than reinvent how students learn or how teachers teach, Classkick facilitates current classroom learning. In Classkick, every student's handwriting, whether its a 2nd grader drawing a picture or an 11th grader doing physics, appears live to the teacher in a mosaic of working students. The teacher can zoom into any students sheet to help them and ask a probing question to redirect their thinking. By the time the student has read and thought through the feedback, the teacher has already swept off and helped 5 others.We are hyper focused on one goal: increase student learning. To achieve this, we listen to educators to truly understand how technology can assist in the learning process.",IK12,ACTIVE,Not Available,"Chicago, IL",United States,http://www.classkick.com/,Not Available,11,https://www.facebook.com/classkick/,Not Available,Not Available,https://twitter.com/Classkick/,Andrew Harada Rowland,1
2,Luminai,https://www.ycombinator.com/companies/luminai,Luminai helps automate repetitive manual work away from your mission,"Luminai helps automate repetitive manual work away from your mission critical business processes. We're serving customers across retail, healthcare, financial services, and more. Visit our website and see our customer case studies below:https://luminai.comGrateful to be backed by General Catalyst, Craft Ventures, Y Combinator, Moxxie Ventures, Caffeinated Capital, Unshackled Ventures, Scribble Ventures, Shrug Capital, Underscore VC, Weekend Fund, Liquid 2 Ventures, Nikhil Basu Trivedi, Yuri Sagalov, Chris Golda, Basement Fund, the founders and CEOs of Dropbox, Flexport, Notion, Deel, Front, Ramp, Coda, Rappi, Twitch, Lever, Algolia, Thredup, Pagerduty, Sendbird, the COO's of Stitchfix/Rippling, and the former heads of product of Twitter, Instagram, and Uber. Weve raised $20 million till date. Were hiring across all roles!",S20,ACTIVE,"B2B, ENTERPRISE",San Francisco,United States,https://www.luminai.com,2020,45,Not Available,Not Available,Not Available,Not Available,Kesava Kirupa Dinakaran,1
3,New Story,https://www.ycombinator.com/companies/new-story,We pioneer solutions to address global homelessness.,Were shaping a future beyond charity  where every family can own a home.,S15,ACTIVE,"FINTECH, HOUSING, NONPROFIT","Atlanta, GA",United States,http://newstoryhomes.org,2014,35,https://www.facebook.com/newstoryhomes,https://www.linkedin.com/company/new-story-homes/,Not Available,https://mobile.twitter.com/NewStoryHomes,"Brett Hagler, Matthew Marshall",2
4,renderlet,https://www.ycombinator.com/companies/renderlet,Build interactive applications that run anywhere,"renderlet is a framework that makes it easy to develop interactive applications.Building applications with high-performance graphics is very hard  existing tools are cumbersome and arent truly platform agnostic, leading to frequent rework. With renderlet, developers can write high-level code to describe 2D and 3D graphics without having to use low-level, platform-specific APIs.renderlet automatically compiles graphics code to WebAssembly and embeds a portable rendering engine inside any app, enabling graphics to safely and automatically render on any platforms GPU.Our runtime is open-source: https://github.com/renderlet/wander",W24,ACTIVE,"DESIGN-TOOLS, DEVELOPER-TOOLS, Data Tech",New York,United States,http://renderlet.com,2024,1,Not Available,https://www.linkedin.com/company/renderlet,Not Available,Not Available,Sean Isom,1
5,Nebia,https://www.ycombinator.com/companies/nebia,"Nebia is a breakthrough shower system, based on a premium experience,","(acquired by Brondell in 2022)At Nebia we build innovative and impactful products that improve how people use water in their daily lives. Through thoughtful reinvention of everyday interactions, we empower people everywhere to collectively make a greater impact with their most basic daily rituals. We started with the shower. The Nebia shower embodies the highest standards of experience, design, engineering and water and energy use. With water savings up to 70% compared to traditional showers, Nebia was designed to make a meaningful impact without compromising on experience.At the heart of our products is our unwavering dedication to developing groundbreaking sustainable solutions that stand the test of time. Every new iteration is made to solve a complex engineering challenge that has limited innovation for over a century. Our investment in R&D and product development is second only to our investment in the people who are making it possible.After several years working behind the scenes, we are extremely proud of what we have recently achieved:- $10m raised on Kickstarter- Products in 100,000 homes- 500+ million gallons of water saved (c. 2022)- 27 million kWh (27 GWh) of energy (approx. energy to heat 2,700 U.S. homes in one year)",S15,ACQUIRED,"Climate Tech, HARDWARE, SUSTAINABILITY",San Francisco,United States,http://nebia.com,2013,16,Not Available,https://www.linkedin.com/company/nebia/,https://www.crunchbase.com/organization/nebia,https://twitter.com/nebia,"Philip Winter, Carlos Gomez Andonaegui, Gabriel Parisi-Amon",3
6,Upflow,https://www.ycombinator.com/companies/upflow,Modern cash collection for B2B businesses.,"Upflow is building high-quality software to help mid-market B2B companies improve their cash collection and grow profitably.B2B payment remains super painful for both suppliers and customers in 2023. Through a one-click integration with major financial software (Netsuite, Sage Intacct, Quickbooks) it provides finance and business teams with:1. A better understanding of their cash collection performance through powerful analytics2. An intuitive platform for all teams (finance, sales, success) to collaborate around cash collection, turning archaic spreadsheet processes into systematic, personalized cash collection processes.3. A platform to bring modern payment methods to customers and recreate a consumer-like checkout experience with one click payment. Overall, Upflow drastically improve cash collection rates and turn revenues into cash in the bank faster, simpler.The best B2B tech companies, such as Front, Lattice, ProductBoard, rely on Upflow to manage their cash collection. If you're a CFO, Controller, or Finance Ops, check out our free Discover product to run an audit of your cash collection in 5 min: https://insights.upflow.io/en/discover-upflow",W20,ACTIVE,"FINTECH, SAAS",New York,United States,https://upflow.io/en/,2018,70,Not Available,https://www.linkedin.com/company/upflowhq/,https://www.crunchbase.com/organization/upflow,https://twitter.com/upflowhq,"Alex Louisy, Barnaby Malet",2
7,Leaders In Tech (formerly InnerSpace),https://www.ycombinator.com/companies/leaders-in-tech,"Helping founders improve themselves, their companies, and the world.",Leaders In Tech Fellows is a 10-month program limited to 72 hand-picked founders nominated by the tech community for their commitment to building high-performing and culturally-healthy organizations.The Fellows program is based on the legendary Interpersonal Dynamics (Touchy Feely) class at the Stanford Graduate School of Business and is led by Carole Robin former faculty director and matriarch of that program. 146 Fellows alumni now run companies valued at over $50B that employ thousands of people.,S15,ACTIVE,COMMUNITY,San Francisco,United States,http://leadersintech.org,Not Available,1,Not Available,Not Available,https://www.crunchbase.com/organization/innerspace-2,Not Available,"Joe Greenstein, Semira Rahemtulla",2
8,Arpio,https://www.ycombinator.com/companies/arpio,Recover from any outage in 10 minutes or less.,Arpio is a SaaS that eliminates downtime for AWS applications by making it easy to recover from any outage in just a few minutes.,W21,ACTIVE,"B2B, CLOUD-WORKLOAD-PROTECTION, SAAS","Durham, NC",United States,https://arpio.io,2018,7,Not Available,https://www.linkedin.com/company/arpio,Not Available,Not Available,"Doug Neumann, Shaw Terwilliger",2
9,Basalt Tech,https://www.ycombinator.com/companies/basalt-tech,"Autonomy in space, for every mission","Basalt Tech is a spacecraft OS company based in San Francisco. We're building Dispatch: An OS which allows different types of satellites to work together, and produces optimized instructions for fleets of spacecraft. The company is founded by Max Bhatti and Alex Choi, lead engineers at the MIT CubeSat program. Previously, the duo worked as systems engineers at SpaceX, and the UK Ministry of Defense. Basalt Tech recently received its seed investment as part of the Y Combinator W24 batch, and is currently in technical development.",W24,ACTIVE,"AEROSPACE, AUTOMATION, ENTERPRISE-SOFTWARE",San Francisco,United States,https://basalt.space/,2023,2,Not Available,https://www.linkedin.com/company/101564456/,Not Available,Not Available,"Maximillian Bhatti, Alex Choi",2
